gene,disease
IL20,depression
PDE11A,depression
TLR7,depression
SRRT,depression
GHRL,depression
PFKFB3,depression
PLG,depression
PRKCB,depression
GLT8D1,depression
KYAT3,depression
PSMB4,depression
SLC17A6,depression
SLC5A7,depression
CCL24,depression
SELP,depression
RAPH1,depression
SLC6A13,depression
SOD1,depression
SOX9,depression
SSTR5,depression
VAMP2,depression
TERT,depression
TG,depression
TYK2,depression
ZBTB16,depression
CAMK2A,depression
DIXDC1,depression
GALR2,depression
PROM1,depression
CCKAR,depression
CD34,depression
SEC24C,depression
EDEM1,depression
HDAC9,depression
RAPGEF5,depression
MTHFR,depression
OPRM1,depression
PER2,depression
DRD3,depression
FBLN5,depression
IGF1R,depression
MAPT,depression
MECP2,depression
OPRM1,depression
PDYN,depression
PLAT,depression
IFT80,depression
TBCD,depression
TRH,depression
CACNA1S,depression
MGME1,depression
SLC23A1,depression
MAOA,depression
TPH2,depression
CNR2,depression
ADORA2A,depression
CRH,depression
CSF3,depression
DRD5,depression
ALB,depression
ACSL4,depression
FGF2,depression
FGFR1,depression
CADM1,depression
FTH1,depression
FTL,depression
DISC1,depression
GLO1,depression
GNB1,depression
NR3C1,depression
GSK3A,depression
GSK3B,depression
HTR7,depression
IFNA2,depression
IL6,depression
KCNK2,depression
MIF,depression
MTHFR,depression
NOS1,depression
NPY,depression
NPY1R,depression
GHRL,depression
POMC,depression
PON1,depression
RELN,depression
PTGS2,depression
BDNF,depression
S100A10,depression
SELP,depression
SLC6A4,depression
SNAP25,depression
SOD1,depression
TG,depression
DIXDC1,depression
TAS2R38,depression
ACE,depression
TGFB1,depression
IDO1,depression
MTOR,depression
HTR1A,depression
CALM2,depression
ITGAL,depression
NPY,depression
PRNP,depression
ACTA2,moyamoya disease
GUCY1A1,moyamoya disease
ACTA2,moyamoya disease
RNF213,moyamoya disease
RNF213,moyamoya disease
RNF213,moyamoya disease
ACTA2,moyamoya disease
BRCC3,moyamoya disease
ELN,moyamoya disease
HLA-DRB1,moyamoya disease
HLA-DQB1,moyamoya disease
JAG1,moyamoya disease
SAMHD1,moyamoya disease
GLA,moyamoya disease
HLA-B,moyamoya disease
ABCC6,moyamoya disease
NF1,moyamoya disease
MYMY1,moyamoya disease
PCNT,moyamoya disease
ATP7A,moyamoya disease
HTRA1,moyamoya disease
SLC2A10,moyamoya disease
MYMY3,moyamoya disease
BRCC3,moyamoya disease
ASXL1,myelodysplastic syndrome
SF3B1,myelodysplastic syndrome
GATA2,myelodysplastic syndrome
TET2,myelodysplastic syndrome
U2AF1,myelodysplastic syndrome
SBDS,myelodysplastic syndrome
ZRSR2,myelodysplastic syndrome
SETBP1,myelodysplastic syndrome
FANCB,myelodysplastic syndrome
MPL,myelodysplastic syndrome
PTPN11,myelodysplastic syndrome
SRSF2,myelodysplastic syndrome
TP53,myelodysplastic syndrome
RUNX1,myelodysplastic syndrome
ATRX,myelodysplastic syndrome
RAD51,myelodysplastic syndrome
XRCC2,myelodysplastic syndrome
CALR,myelodysplastic syndrome
SH2B3,myelodysplastic syndrome
ERCC4,myelodysplastic syndrome
FANCD2,myelodysplastic syndrome
BRCA2,myelodysplastic syndrome
RPS14,myelodysplastic syndrome
CDKN2B,myelodysplastic syndrome
MAD2L2,myelodysplastic syndrome
CEBPA,myelodysplastic syndrome
CSF1R,myelodysplastic syndrome
CSF3R,myelodysplastic syndrome
EPO,myelodysplastic syndrome
MECOM,myelodysplastic syndrome
EZH2,myelodysplastic syndrome
FANCA,myelodysplastic syndrome
FANCC,myelodysplastic syndrome
FANCE,myelodysplastic syndrome
FANCF,myelodysplastic syndrome
FANCG,myelodysplastic syndrome
GATA1,myelodysplastic syndrome
UBE2T,myelodysplastic syndrome
FANCL,myelodysplastic syndrome
FANCI,myelodysplastic syndrome
FANCM,myelodysplastic syndrome
RAD51C,myelodysplastic syndrome
BRCA1,myelodysplastic syndrome
PALB2,myelodysplastic syndrome
BRIP1,myelodysplastic syndrome
SLX4,myelodysplastic syndrome
CBL,myelodysplastic syndrome
PLCB1,myelodysplastic syndrome
HFE,myelodysplastic syndrome
KRAS,myelodysplastic syndrome
MYC,myelodysplastic syndrome
BMI1,myelodysplastic syndrome
DLK1,myelodysplastic syndrome
SAMD9,myelodysplastic syndrome
DAPK1,myelodysplastic syndrome
CTNNA1,myelodysplastic syndrome
CUX1,myelodysplastic syndrome
ARHGAP26,myelodysplastic syndrome
TLR2,myelodysplastic syndrome
CFLAR,myelodysplastic syndrome
STAG2,myelodysplastic syndrome
ACSL6,myelodysplastic syndrome
HDAC1,myelodysplastic syndrome
LYL1,myelodysplastic syndrome
CTC1,myelodysplastic syndrome
SMPD3,myelodysplastic syndrome
BLM,myelodysplastic syndrome
SPHK1,myelodysplastic syndrome
